eps,max_query_length,subset_id,subset_max_length,mean_error,std_error,num_evals,max_3-gram_length
0.1,20,0,4.0,15.259243674010480945,1.1857611955488398008,100,100
0.1,20,1,8.0,7.59734207249789824,0.8009456329368324185,100,100
0.1,20,2,12.0,5.098651915745999208,0.6647793321583438036,100,100
0.1,20,3,16.0,3.8343125963151000457,0.57419490649918162494,100,100
0.1,20,4,20.0,3.138646275125421643,0.45629423685547577512,100,100
0.2,20,0,4.0,7.354288546460165099,0.5402612177616662769,100,100
0.2,20,1,8.0,3.6612287227435742975,0.36708730067085875494,100,100
0.2,20,2,12.0,2.4535350329900221977,0.32826000858599283576,100,100
0.2,20,3,16.0,1.8437465129397346408,0.30764397210704529686,100,100
0.2,20,4,20.0,1.5085400825198123331,0.22582809618996692503,100,100
0.5,20,0,4.0,2.9813255475358855272,0.21965051367610710382,100,100
0.5,20,1,8.0,1.4831139223525181437,0.14900432003693035389,100,100
0.5,20,2,12.0,0.9952533375569252949,0.1140091817470232453,100,100
0.5,20,3,16.0,0.7380757491538892806,0.094313323688198347803,100,100
0.5,20,4,20.0,0.59230417579569086153,0.09329816119846264676,100,100
0.8,20,0,4.0,1.9429706215426380566,0.14434688020197609918,100,100
0.8,20,1,8.0,0.9635737967181059116,0.099686183541120320624,100,100
0.8,20,2,12.0,0.64681067317171374087,0.08320250239149551194,100,100
0.8,20,3,16.0,0.47472974957116633566,0.057760900918080905407,100,100
0.8,20,4,20.0,0.39254943551684687297,0.0671101426807466196,100,100
1.0,20,0,4.0,1.5771560326277866615,0.11025263057911760059,100,100
1.0,20,1,8.0,0.78548593404243817863,0.0613568257138720363,100,100
1.0,20,2,12.0,0.5223805940560077621,0.069724476327744224027,100,100
1.0,20,3,16.0,0.40224426979269583938,0.049533756776141560086,100,100
1.0,20,4,20.0,0.32156596067374270176,0.041864138137057605424,100,100
