inf,20,0,4.0,0.4091158809586515,0.034921505290287806,100
inf,20,1,8.0,0.19949183565973144,0.025792654098098215,100
inf,20,2,12.0,0.13318777982617852,0.020827248248978684,100
inf,20,3,16.0,0.10305662365025015,0.020592136489665236,100
inf,20,4,20.0,0.08224374506189097,0.01653811534906797,100
inf,20,0,4.0,0.4078634448248615,0.03586509884717961,100
inf,20,1,8.0,0.20202699499604954,0.02848764293645158,100
inf,20,2,12.0,0.1326027126678957,0.02143573501428976,100
inf,20,3,16.0,0.09979365288385565,0.016334329399912324,100
inf,20,4,20.0,0.07959533842507242,0.017765166530436884,100
